HTL_CD,STY_DT,CURR_CD,RM_NTS,RM_REV_AMT_LOC
EXIUS,2019-05-06T00:00:00Z,USD,60,7447.15999999999
EXIUS,2019-05-07T00:00:00Z,USD,61,7546.82999999999
EXIUS,2019-05-08T00:00:00Z,USD,57,7233.91999999999
EXIUS,2019-05-09T00:00:00Z,USD,70,8746.33999999999
EXIUS,2019-05-10T00:00:00Z,USD,57,6924.04999999999
EXIUS,2019-05-11T00:00:00Z,USD,36,4541.28999999999
EXIUS,2019-05-12T00:00:00Z,USD,28,3360.88999999999
EXIUS,2019-05-13T00:00:00Z,USD,59,7386.50999999999
EXIUS,2019-05-14T00:00:00Z,USD,68,8540.61999999999
EXIUS,2019-05-15T00:00:00Z,USD,67,8503.66999999999
EXIUS,2019-05-16T00:00:00Z,USD,51,6088.93999999999
EXIUS,2019-05-17T00:00:00Z,USD,55,6926.77999999999
EXIUS,2019-05-18T00:00:00Z,USD,46,5654.31999999999
EXIUS,2019-05-19T00:00:00Z,USD,30,3679.59999999999
EXIUS,2019-05-20T00:00:00Z,USD,49,6057.22999999999
EXIUS,2019-05-21T00:00:00Z,USD,58,7196.54999999999
EXIUS,2019-05-22T00:00:00Z,USD,54,6568.07999999999
EXIUS,2019-05-23T00:00:00Z,USD,48,5631.53999999999
EXIUS,2019-05-24T00:00:00Z,USD,41,5121.24999999999
EXIUS,2019-05-25T00:00:00Z,USD,38,5094.28999999999
EXIUS,2019-05-26T00:00:00Z,USD,20,2330.91999999999
EXIUS,2019-05-27T00:00:00Z,USD,13,1668.13
EXIUS,2019-05-28T00:00:00Z,USD,35,3954.39999999999
EXIUS,2019-05-29T00:00:00Z,USD,44,5428.96999999999
EXIUS,2019-05-30T00:00:00Z,USD,48,5838.39999999999
EXIUS,2019-05-31T00:00:00Z,USD,55,6437.78999999999
EXIUS,2019-06-01T00:00:00Z,USD,35,4119.23999999999
EXIUS,2019-06-02T00:00:00Z,USD,32,3625.79999999999
EXIUS,2019-06-03T00:00:00Z,USD,56,6850.37999999999
EXIUS,2019-06-04T00:00:00Z,USD,61,7835.09999999999
EXIUS,2019-06-05T00:00:00Z,USD,56,7059.18999999999
EXIUS,2019-06-06T00:00:00Z,USD,47,5707.77999999999
EXIUS,2019-06-07T00:00:00Z,USD,58,7392.79999999999
EXIUS,2019-06-08T00:00:00Z,USD,58,7215.10999999999
EXIUS,2019-06-09T00:00:00Z,USD,14,1713.01
EXIUS,2019-06-10T00:00:00Z,USD,45,5671.33999999999
EXIUS,2019-06-11T00:00:00Z,USD,63,7659.77999999999
EXIUS,2019-06-12T00:00:00Z,USD,55,6800.58999999999
EXIUS,2019-06-13T00:00:00Z,USD,44,5358.93999999999
EXIUS,2019-06-14T00:00:00Z,USD,61,7252.46999999999
EXIUS,2019-06-15T00:00:00Z,USD,40,4455.75999999999
EXIUS,2019-06-16T00:00:00Z,USD,25,2958.18999999999
EXIUS,2019-06-17T00:00:00Z,USD,60,7954.17
EXIUS,2019-06-18T00:00:00Z,USD,67,8767.967586207
EXIUS,2019-06-19T00:00:00Z,USD,63,7788.82999999999
EXIUS,2019-06-20T00:00:00Z,USD,50,5853.58999999999
EXIUS,2019-06-21T00:00:00Z,USD,66,8180.63172413699
EXIUS,2019-06-22T00:00:00Z,USD,42,5017.18999999999
EXIUS,2019-06-23T00:00:00Z,USD,24,2949.02
EXIUS,2019-06-24T00:00:00Z,USD,53,6209.58999999999
EXIUS,2019-06-25T00:00:00Z,USD,60,7432.18999999999
EXIUS,2019-06-26T00:00:00Z,USD,65,7541.59999999999
EXIUS,2019-06-27T00:00:00Z,USD,63,7028.66999999999
EXIUS,2019-06-28T00:00:00Z,USD,68,8583.30517241199
EXIUS,2019-06-29T00:00:00Z,USD,39,4372.18999999999
EXIUS,2019-06-30T00:00:00Z,USD,18,1971.91
EXIUS,2019-07-01T00:00:00Z,USD,29,3409.46999999999
EXIUS,2019-07-02T00:00:00Z,USD,24,3009.06999999999
EXIUS,2019-07-03T00:00:00Z,USD,21,2493.67999999999
EXIUS,2019-07-04T00:00:00Z,USD,23,2656.35999999999
EXIUS,2019-07-05T00:00:00Z,USD,68,9494.42241379199
EXIUS,2019-07-06T00:00:00Z,USD,50,6547.40999999999
EXIUS,2019-07-07T00:00:00Z,USD,23,2935.87999999999
EXIUS,2019-07-08T00:00:00Z,USD,46,6261.18999999999
EXIUS,2019-07-09T00:00:00Z,USD,50,6625.98999999999
EXIUS,2019-07-10T00:00:00Z,USD,54,6868.41999999999
EXIUS,2019-07-11T00:00:00Z,USD,54,6830.17999999999
EXIUS,2019-07-12T00:00:00Z,USD,63,8744.82620689599
EXIUS,2019-07-13T00:00:00Z,USD,40,4951.23999999999
EXIUS,2019-07-14T00:00:00Z,USD,20,2456.81999999999
EXIUS,2019-07-15T00:00:00Z,USD,64,7934.17999999999
EXIUS,2019-07-16T00:00:00Z,USD,66,8173.39827586199
EXIUS,2019-07-17T00:00:00Z,USD,50,6433.97999999999
EXIUS,2019-07-18T00:00:00Z,USD,45,5821.96999999999
EXIUS,2019-07-19T00:00:00Z,USD,65,9287.25999999999
EXIUS,2019-07-20T00:00:00Z,USD,35,4673.19999999999
EXIUS,2019-07-21T00:00:00Z,USD,27,3804.27999999999
EXIUS,2019-07-22T00:00:00Z,USD,65,8901.56999999999
EXIUS,2019-07-23T00:00:00Z,USD,66,8875.98999999999
EXIUS,2019-07-24T00:00:00Z,USD,65,8358.89999999999
EXIUS,2019-07-25T00:00:00Z,USD,49,6234.41999999999
EXIUS,2019-07-26T00:00:00Z,USD,63,8308.77999999999
EXIUS,2019-07-27T00:00:00Z,USD,22,2505.31999999999
EXIUS,2019-07-28T00:00:00Z,USD,19,2071.66
EXIUS,2019-07-29T00:00:00Z,USD,34,4048.82999999999
EXIUS,2019-07-30T00:00:00Z,USD,45,5386.60999999999
EXIUS,2019-07-31T00:00:00Z,USD,43,5065.84999999999
EXIUS,2019-08-01T00:00:00Z,USD,31,3690.91999999999
EXIUS,2019-08-02T00:00:00Z,USD,42,5503.88999999999
EXIUS,2019-08-03T00:00:00Z,USD,35,4629.14999999999
EXIUS,2019-08-04T00:00:00Z,USD,35,4106.69999999999
EXIUS,2019-08-05T00:00:00Z,USD,63,7420.57999999999
EXIUS,2019-08-06T00:00:00Z,USD,64,7893.82999999999
EXIUS,2019-08-07T00:00:00Z,USD,64,7423.09999999999
EXIUS,2019-08-08T00:00:00Z,USD,43,5059.39999999999
EXIUS,2019-08-09T00:00:00Z,USD,31,3449.26999999999
EXIUS,2019-08-10T00:00:00Z,USD,32,3673.95
EXIUS,2019-08-11T00:00:00Z,USD,23,2882.07999999999
EXIUS,2019-08-12T00:00:00Z,USD,48,5729.30999999999
EXIUS,2019-08-13T00:00:00Z,USD,58,7028.63999999999
EXIUS,2019-08-14T00:00:00Z,USD,41,5020.62999999999
EXIUS,2019-08-15T00:00:00Z,USD,33,4063.99999999999
EXIUS,2019-08-16T00:00:00Z,USD,31,3746.56999999999
EXIUS,2019-08-17T00:00:00Z,USD,42,5363.69999999999
EXIUS,2019-08-18T00:00:00Z,USD,21,2590.14
EXIUS,2019-08-19T00:00:00Z,USD,47,5651.6
EXIUS,2019-08-20T00:00:00Z,USD,57,7403.41999999999
EXIUS,2019-08-21T00:00:00Z,USD,54,6608.24999999999
EXIUS,2019-08-22T00:00:00Z,USD,38,4584.48999999999
EXIUS,2019-08-23T00:00:00Z,USD,34,4227.97999999999
EXIUS,2019-08-24T00:00:00Z,USD,34,3901.51999999999
EXIUS,2019-08-25T00:00:00Z,USD,15,1840.41
EXIUS,2019-08-26T00:00:00Z,USD,62,7491.07999999999
EXIUS,2019-08-27T00:00:00Z,USD,61,7850.68999999999
EXIUS,2019-08-28T00:00:00Z,USD,57,6931.78999999999
EXIUS,2019-08-29T00:00:00Z,USD,24,2777.72999999999
EXIUS,2019-08-30T00:00:00Z,USD,16,1831.63
EXIUS,2019-08-31T00:00:00Z,USD,37,4790.57999999999
EXIUS,2019-09-01T00:00:00Z,USD,18,2093.42
EXIUS,2019-09-02T00:00:00Z,USD,25,2993.27999999999
EXIUS,2019-09-03T00:00:00Z,USD,49,6300.47999999999
EXIUS,2019-09-04T00:00:00Z,USD,57,7188.81999999999
EXIUS,2019-09-05T00:00:00Z,USD,37,4666.10999999999
EXIUS,2019-09-06T00:00:00Z,USD,33,3827.96999999999
EXIUS,2019-09-07T00:00:00Z,USD,40,4780.03999999999
EXIUS,2019-09-08T00:00:00Z,USD,24,3136.31999999999
EXIUS,2019-09-09T00:00:00Z,USD,53,6696.93999999999
EXIUS,2019-09-10T00:00:00Z,USD,65,8211.10999999999
EXIUS,2019-09-11T00:00:00Z,USD,66,8469.77172413799
EXIUS,2019-09-12T00:00:00Z,USD,51,6141.39999999999
EXIUS,2019-09-13T00:00:00Z,USD,33,3987.19999999999
EXIUS,2019-09-14T00:00:00Z,USD,33,3994.14999999999
EXIUS,2019-09-15T00:00:00Z,USD,32,4102.10999999999
EXIUS,2019-09-16T00:00:00Z,USD,63,7588.41999999999
EXIUS,2019-09-17T00:00:00Z,USD,64,8095.35999999999
EXIUS,2019-09-18T00:00:00Z,USD,66,7891.85999999999
EXIUS,2019-09-19T00:00:00Z,USD,56,7073.63999999999
EXIUS,2019-09-20T00:00:00Z,USD,41,4903.44999999999
EXIUS,2019-09-21T00:00:00Z,USD,40,4849.73999999999
EXIUS,2019-09-22T00:00:00Z,USD,34,4365.05999999999
EXIUS,2019-09-23T00:00:00Z,USD,58,7038.36999999999
EXIUS,2019-09-24T00:00:00Z,USD,63,7666.00999999999
EXIUS,2019-09-25T00:00:00Z,USD,57,6858.71999999999
EXIUS,2019-09-26T00:00:00Z,USD,59,7015.35999999999
EXIUS,2019-09-27T00:00:00Z,USD,37,4557.24
EXIUS,2019-09-28T00:00:00Z,USD,29,3377.91999999999
EXIUS,2019-09-29T00:00:00Z,USD,24,2818.86999999999
EXIUS,2019-09-30T00:00:00Z,USD,55,6732.48999999999
EXIUS,2019-10-01T00:00:00Z,USD,49,6297.94999999999
EXIUS,2019-10-02T00:00:00Z,USD,63,7577.09999999999
EXIUS,2019-10-03T00:00:00Z,USD,42,4728.59999999999
EXIUS,2019-10-04T00:00:00Z,USD,63,7574.05999999999
EXIUS,2019-10-05T00:00:00Z,USD,40,4804.97999999999
EXIUS,2019-10-06T00:00:00Z,USD,35,4155.38999999999
EXIUS,2019-10-07T00:00:00Z,USD,46,5600.02999999999
EXIUS,2019-10-08T00:00:00Z,USD,68,8166.84999999999
EXIUS,2019-10-09T00:00:00Z,USD,53,6603.31999999999
EXIUS,2019-10-10T00:00:00Z,USD,55,6725.60999999999
EXIUS,2019-10-11T00:00:00Z,USD,61,7789.88999999999
EXIUS,2019-10-12T00:00:00Z,USD,59,7472.89999999999
EXIUS,2019-10-13T00:00:00Z,USD,52,6718.10999999999
EXIUS,2019-10-14T00:00:00Z,USD,63,8040.50999999999
EXIUS,2019-10-15T00:00:00Z,USD,63,8071.84999999999
EXIUS,2019-10-16T00:00:00Z,USD,68,8713.20999999999
EXIUS,2019-10-17T00:00:00Z,USD,66,8163.98999999999
EXIUS,2019-10-18T00:00:00Z,USD,55,7290.70999999999
